Date,price_ratio,price_spread,zscore,spread_ma5,spread_ma20,spread_std,bollinger_high,bollinger_low,volume_ratio
2024-07-11,2.076219512195122,88.25,-1.2573978296234316,88.45599999999999,94.228,4.754263017767654,103.7365260355353,84.71947396446468,2.073665540688193
2024-07-12,2.0314627846912416,87.85999999999999,-1.2062304168549438,87.52,93.814,4.936038684486275,103.68607736897255,83.94192263102744,1.0351683495388977
2024-07-15,2.0188501413760607,86.48000000000002,-1.3274822987591297,86.848,93.235,5.088580093545691,103.41216018709139,83.05783981290861,1.16188865025769
2024-07-16,2.0547814695724664,88.57,-0.833379724367961,87.128,92.628,4.869328928151705,102.3666578563034,82.8893421436966,1.2882862196713247
2024-07-17,2.0692810457516337,89.97999999999999,-0.46911943829689806,88.228,92.13,4.5830546007759025,101.2961092015518,82.96389079844819,1.7672541637979386
2024-07-18,2.1416440617997403,96.8,1.1030844399777509,89.938,91.9825,4.367299388337999,100.717098776676,83.247901223324,3.3564549631422294
2024-07-19,2.1326173243053934,97.02000000000001,1.1584763865073993,91.77000000000001,91.9735,4.356152666360607,100.68580533272122,83.26119466727879,1.5305034724658955
2024-07-22,2.120677651427245,96.57999999999998,1.140399402413119,93.78999999999999,91.8395,4.156876959045177,100.15325391809036,83.52574608190965,1.7040496277746497
2024-07-23,2.1869591712370506,97.39,1.3304695574794665,95.554,91.84649999999999,4.166574100727264,100.17964820145451,83.51335179854547,0.7110148736592138
2024-07-24,2.2176114610349513,98.59,1.5512884625889902,97.276,91.9325,4.291593833482849,100.5156876669657,83.3493123330343,1.2194959541367205
2024-07-25,2.2311675502404142,99.86,1.7402951920080498,97.888,92.054,4.485445938049739,101.02489187609947,83.08310812390053,2.0371004114373608
2024-07-26,2.209730122231635,99.96000000000001,1.5592772265111063,98.476,92.44149999999999,4.821785293961301,102.08507058792259,82.7979294120774,1.870179907387977
2024-07-29,2.1756210990086897,96.06000000000002,0.6801367612199785,98.37200000000001,92.7745,4.830646110212789,102.43579222042558,83.11320777957442,2.7089362025550803
2024-07-30,2.227181795448862,98.14999999999999,1.0095643028202823,98.524,93.1645,4.93826890082452,103.04103780164904,83.28796219835097,1.152718016530462
2024-07-31,2.2158459829692707,98.52000000000001,1.010430706989423,98.51000000000002,93.3875,5.079517046044933,103.54653409208987,83.22846590791013,2.2741913361267097
2024-08-01,2.167082917082917,93.46,0.016144344846253864,97.23,93.378,5.079177927682889,103.53635585536578,83.21964414463422,2.220552901990442
2024-08-02,2.213802963348064,93.39000000000001,-0.006009435807130023,95.91600000000001,93.4205,5.075351660101259,103.57120332020253,83.26979667979748,1.063609091713082
2024-08-05,2.247689463955638,94.50000000000001,0.1690006438878341,95.604,93.65350000000001,5.0088566559653405,103.67121331193069,83.63578668806933,1.8379469544226361
2024-08-06,2.2428323776503536,93.2,-0.1581472704976068,94.614,93.955,4.77403117754992,103.50306235509984,84.40693764490015,1.2214140756826277
2024-08-07,2.2257634351246836,91.92,-0.5651631249361357,93.29400000000001,94.327,4.258947361917837,102.84489472383567,85.80910527616433,1.5549486722884722
2024-08-08,2.233549083063646,91.47999999999999,-0.7385385941343338,92.898,94.4885,4.073585353418635,102.63567070683727,86.34132929316273,1.717375259185335
2024-08-09,2.1512915129151295,87.36000000000001,-1.7251128849947202,91.69200000000001,94.4635,4.117701549728859,102.69890309945771,86.22809690054228,1.2860027366978775
2024-08-12,2.149443561208267,86.76,-1.8871459197089193,90.144,94.4775,4.0895088818517955,102.65651776370359,86.29848223629642,3.238364417277406
2024-08-13,2.2293112653497063,92.10000000000001,-0.656123435236297,89.924,94.65400000000001,3.892560245284032,102.43912049056807,86.86887950943195,3.2081837284575974
2024-08-14,2.2294838970489153,91.24,-0.9096147801306146,89.78800000000001,94.71700000000001,3.8224972548277463,102.3619945096555,87.07200549034452,1.7692703709964623
2024-08-15,2.1972573839662446,90.79999999999998,-0.9309340443374553,89.652,94.417,3.885345070363426,102.18769014072686,86.64630985927315,1.6354621943459773
2024-08-16,2.165606748864374,89.81000000000002,-1.0710525493166065,90.14200000000001,94.0565,3.9647914593074787,101.98608291861495,86.12691708138505,1.0908539508203872
2024-08-19,2.1884640311082304,91.69,-0.5369788387873227,91.128,93.812,3.9517385913980965,101.71547718279619,85.9085228172038,1.9999145079650067
2024-08-20,2.169161290322581,90.61000000000001,-0.7304832287083098,90.83,93.47300000000001,3.9193233841419617,101.31164676828394,85.63435323171609,1.350265667989401
2024-08-21,2.116820655613213,88.24,-1.211799090626679,90.22999999999999,92.9555,3.891321619627059,100.73814323925411,85.17285676074589,1.0038813792764616
2024-08-22,2.181864299302473,93.19,0.1605317843006105,90.708,92.622,3.538240121572222,99.69848024314445,85.54551975685555,3.1847874791450392
2024-08-23,2.2309457048177417,96.58,1.2748601035608693,92.06200000000001,92.453,3.237217941382498,98.927435882765,85.97856411723501,3.6988711685273197
2024-08-26,2.2573904179408766,98.67999999999999,1.7732943005923005,93.46,92.584,3.437669651317244,99.45933930263449,85.70866069736552,2.625714437339626
2024-08-27,2.238915632125665,97.80000000000001,1.5353757750005135,94.898,92.5665,3.4086118103551923,99.38372362071038,85.74927637928963,1.959117150336584
2024-08-28,2.2679376529692132,98.43,1.725685470719156,96.936,92.562,3.400387903570052,99.3627758071401,85.7612241928599,1.1948428252019314
2024-08-29,2.2614345114345116,97.08,1.2237532446601527,97.71400000000001,92.74300000000001,3.544015118182108,99.83103023636423,85.65496976363579,1.973949738590742
2024-08-30,2.170373991689074,95.76000000000002,0.8038282278590813,97.55,92.8615,3.605869885559863,100.07323977111973,85.64976022888028,1.3173840064585585
2024-09-02,2.2068572874493926,95.39,0.6838175494723053,96.89200000000001,92.90599999999999,3.632547895146717,100.17109579029342,85.64090420970656,1.283947199275385
2024-09-03,2.2074284304047382,97.84999999999998,1.2407092575523138,96.902,93.13850000000001,3.7974247160006502,100.7333494320013,85.54365056799871,1.787163622060625
2024-09-04,2.1966634193862635,98.26999999999998,1.217969856663238,96.87,93.456,3.9524787692106433,101.36095753842129,85.55104246157872,1.646472377376633
2024-09-05,2.170202507232401,97.08,0.8353401221126167,96.86999999999999,93.736,4.003159804586965,101.74231960917393,85.72968039082608,1.2302698599641426
2024-09-06,2.170947419433002,96.64999999999999,0.6522050804625494,97.04799999999999,94.2005,3.755720513956714,101.71194102791344,86.68905897208657,0.9630544393416722
2024-09-09,2.1754878048780486,96.38999999999999,0.5103634316165565,97.24799999999999,94.68199999999999,3.346634759057823,101.37526951811563,87.98873048188435,1.9019350467614864
2024-09-10,2.1296861643668334,92.51,-0.6581699814931037,96.17999999999999,94.7025,3.331206316985407,101.36491263397082,88.04008736602918,2.5183516196036058
2024-09-11,2.12253571006965,95.09000000000002,0.06036591389650863,95.54400000000001,94.89500000000001,3.2302998068465514,101.35559961369312,88.4344003863069,1.3643771602824106
2024-09-12,2.1646710136336695,98.24000000000001,0.9403574456523055,95.776,95.26700000000001,3.1615637370082115,101.59012747401643,88.9438725259836,2.6808714449951347
