Date,NINGDE_Close,BYD_Close
2021-07-13,299.23,85.54
2021-07-14,292.76,78.94
2021-07-15,302.0,75.98
2021-07-16,281.45,71.48
2021-07-19,277.28,71.83
2021-07-20,279.8,73.01
2021-07-21,295.21,77.59
2021-07-22,295.93,80.16
2021-07-23,290.34,83.4
2021-07-26,286.32,80.03
2021-07-27,261.45,76.75
2021-07-28,278.14,76.01
2021-07-29,295.78,82.91
2021-07-30,292.22,85.41
2021-08-02,293.11,94.24
2021-08-03,281.45,90.54
2021-08-04,302.56,99.87
2021-08-05,295.89,97.0
2021-08-06,288.6,98.39
2021-08-09,273.11,95.08
2021-08-10,270.06,94.56
2021-08-11,273.81,95.56
2021-08-12,265.33,100.22
2021-08-13,265.36,97.23
2021-08-16,251.45,92.36
2021-08-17,253.11,90.66
2021-08-18,261.45,91.78
2021-08-19,265.89,95.13
2021-08-20,260.95,92.26
2021-08-23,276.39,93.83
2021-08-24,277.0,96.64
2021-08-25,281.02,95.96
2021-08-26,275.89,91.39
2021-08-27,268.39,93.28
2021-08-30,267.13,91.22
2021-08-31,261.37,89.56
2021-09-01,257.95,85.99
2021-09-02,260.61,86.23
2021-09-03,256.72,81.93
2021-09-06,273.17,89.76
2021-09-07,272.01,89.21
2021-09-08,265.89,87.09
2021-09-09,268.22,87.8
2021-09-10,265.39,85.76
2021-09-13,265.78,84.35
2021-09-14,280.83,86.97
2021-09-15,278.31,84.28
2021-09-16,263.11,80.89
2021-09-17,265.89,82.27
2021-09-22,260.51,79.63
2021-09-23,260.33,80.53
2021-09-24,264.21,81.15
2021-09-27,271.72,81.39
2021-09-28,264.46,79.51
2021-09-29,265.62,75.89
2021-09-30,278.52,80.4
2021-10-08,283.11,81.56
2021-10-11,275.89,82.48
2021-10-12,267.0,82.9
2021-10-13,276.59,87.63
2021-10-14,282.17,88.21
2021-10-15,302.56,91.67
2021-10-18,317.01,92.53
2021-10-19,314.56,92.16
2021-10-20,313.95,94.09
2021-10-21,317.56,92.9
2021-10-22,320.56,97.23
2021-10-25,325.76,103.01
2021-10-26,318.66,103.56
2021-10-27,328.13,104.47
2021-10-28,323.78,99.89
2021-10-29,341.57,101.0
2021-11-01,347.56,97.89
2021-11-02,352.0,101.85
2021-11-03,342.0,98.23
2021-11-04,345.81,105.56
2021-11-05,338.72,101.89
2021-11-08,353.56,102.23
2021-11-09,354.93,104.12
2021-11-10,346.45,100.65
2021-11-11,350.81,101.22
2021-11-12,342.56,99.49
2021-11-15,330.89,95.54
2021-11-16,328.1,95.06
2021-11-17,334.16,96.18
2021-11-18,334.22,95.69
2021-11-19,341.45,96.17
2021-11-22,364.78,100.89
2021-11-23,359.78,100.05
2021-11-24,352.45,98.29
2021-11-25,349.78,96.56
2021-11-26,352.0,96.45
2021-11-29,364.11,98.71
2021-11-30,364.22,98.79
2021-12-01,359.78,99.0
2021-12-02,368.67,100.16
2021-12-03,368.11,99.53
2021-12-06,351.6,97.81
2021-12-07,335.89,95.49
2021-12-08,341.45,97.49
2021-12-09,338.56,97.06
2021-12-10,341.97,97.7
2021-12-13,352.2,96.69
2021-12-14,348.12,95.03
2021-12-15,347.0,95.01
2021-12-16,350.37,92.63
2021-12-17,348.22,90.22
2021-12-20,325.45,87.39
2021-12-21,322.04,89.3
2021-12-22,325.47,90.3
2021-12-23,332.04,90.56
2021-12-24,306.89,87.23
2021-12-27,307.89,86.24
2021-12-28,311.45,87.51
2021-12-29,306.2,86.89
2021-12-30,314.22,86.27
2021-12-31,313.11,86.6
2022-01-04,302.49,87.56
2022-01-05,290.61,81.65
2022-01-06,287.26,80.57
2022-01-07,286.39,79.39
2022-01-10,285.56,79.33
2022-01-11,284.61,76.92
2022-01-12,300.36,82.56
2022-01-13,300.33,82.33
2022-01-14,307.22,81.61
2022-01-17,323.58,86.06
2022-01-18,312.45,85.92
2022-01-19,303.11,81.55
2022-01-20,302.63,80.92
2022-01-21,302.83,80.69
2022-01-24,309.22,81.03
2022-01-25,300.67,77.33
2022-01-26,312.83,80.39
2022-01-27,305.88,77.65
2022-01-28,315.67,72.83
2022-02-07,308.36,78.69
2022-02-08,286.92,76.22
2022-02-09,290.45,78.95
2022-02-10,274.28,77.27
2022-02-11,258.66,73.96
2022-02-14,268.67,74.55
2022-02-15,279.22,76.66
2022-02-16,281.33,77.43
2022-02-17,283.67,79.03
2022-02-18,279.5,78.21
2022-02-21,269.78,77.86
2022-02-22,266.45,76.38
2022-02-23,274.78,81.23
2022-02-24,268.5,78.85
2022-02-25,280.22,79.84
2022-02-28,282.76,80.43
2022-03-01,284.32,81.15
2022-03-02,271.91,80.09
2022-03-03,271.44,78.96
2022-03-04,259.66,75.16
2022-03-07,239.16,71.76
2022-03-08,239.47,69.29
2022-03-09,249.48,71.76
2022-03-10,259.12,73.59
2022-03-11,260.64,73.84
2022-03-14,243.67,70.23
2022-03-15,243.78,68.16
2022-03-16,265.95,73.7
2022-03-17,277.83,75.53
2022-03-18,270.06,75.39
2022-03-21,275.33,79.02
2022-03-22,271.45,78.83
2022-03-23,272.72,79.62
2022-03-24,272.0,79.59
2022-03-25,265.37,75.66
2022-03-28,257.0,74.03
2022-03-29,256.95,74.23
2022-03-30,274.78,76.23
2022-03-31,271.06,73.83
2022-04-01,274.72,75.88
2022-04-06,268.76,77.86
2022-04-07,261.57,77.23
2022-04-08,261.45,78.55
2022-04-11,241.45,74.89
2022-04-12,248.67,76.61
2022-04-13,245.33,76.23
2022-04-14,241.89,77.66
2022-04-15,236.92,75.96
2022-04-18,237.0,76.93
2022-04-19,231.03,78.85
2022-04-20,212.56,77.82
2022-04-21,213.73,75.24
2022-04-22,217.19,75.69
2022-04-25,203.17,73.06
2022-04-26,195.89,74.5
2022-04-27,212.58,75.56
2022-04-28,201.72,74.55
2022-04-29,213.86,78.23
2022-05-05,195.33,80.16
2022-05-06,195.33,77.92
2022-05-09,191.17,74.8
2022-05-10,197.1,75.0
2022-05-11,214.08,81.46
2022-05-12,210.62,81.92
2022-05-13,216.89,87.25
2022-05-16,212.56,86.27
2022-05-17,221.2,91.39
2022-05-18,219.22,91.03
2022-05-19,219.22,92.06
2022-05-20,223.61,93.13
2022-05-23,217.95,95.63
2022-05-24,209.8,90.89
2022-05-25,208.1,92.96
2022-05-26,203.12,92.77
2022-05-27,205.56,93.52
2022-05-30,209.67,96.6
2022-05-31,213.11,95.86
2022-06-01,222.57,97.22
2022-06-02,229.11,97.57
2022-06-06,245.33,103.3
2022-06-07,241.45,102.19
2022-06-08,242.0,106.36
2022-06-09,226.08,104.7
2022-06-10,238.67,113.49
2022-06-13,232.57,113.49
2022-06-14,231.9,111.76
2022-06-15,245.15,108.89
2022-06-16,242.17,109.23
2022-06-17,256.48,109.89
2022-06-20,267.85,111.29
2022-06-21,268.58,110.89
2022-06-22,268.11,110.52
2022-06-23,284.76,115.06
2022-06-24,299.5,114.24
2022-06-27,291.45,113.79
2022-06-28,288.67,114.86
2022-06-29,282.3,107.76
2022-06-30,283.11,108.39
2022-07-01,276.8,106.96
2022-07-04,276.45,109.28
2022-07-05,277.48,108.52
2022-07-06,276.45,109.26
2022-07-07,292.0,113.69
2022-07-08,287.0,109.89
2022-07-11,274.5,105.33
2022-07-12,266.27,100.23
2022-07-13,285.89,100.52
2022-07-14,295.34,104.89
2022-07-15,282.56,109.96
2022-07-18,292.92,109.59
2022-07-19,277.9,107.59
2022-07-20,278.67,107.79
2022-07-21,275.89,105.39
2022-07-22,282.0,107.1
2022-07-25,276.31,104.88
2022-07-26,276.45,105.56
2022-07-27,272.67,105.83
2022-07-28,272.89,105.7
2022-07-29,269.0,104.05
2022-08-01,283.62,107.44
2022-08-02,277.48,106.13
2022-08-03,266.45,104.59
2022-08-04,264.72,106.2
2022-08-05,267.36,105.43
2022-08-08,265.06,104.38
2022-08-09,270.65,103.84
2022-08-10,266.43,100.05
2022-08-11,269.78,102.27
2022-08-12,265.33,101.24
2022-08-15,273.17,102.33
2022-08-16,277.45,103.57
2022-08-17,290.33,106.57
2022-08-18,289.11,105.94
2022-08-19,282.0,103.73
2022-08-22,292.85,104.96
2022-08-23,295.83,104.47
2022-08-24,277.56,100.43
2022-08-25,272.0,100.46
2022-08-26,267.99,102.51
2022-08-29,265.33,101.78
2022-08-30,259.5,100.88
2022-08-31,254.78,93.26
2022-09-01,246.19,92.83
2022-09-02,245.48,91.26
2022-09-05,246.65,86.85
2022-09-06,239.33,88.24
2022-09-07,249.73,91.5
2022-09-08,236.17,90.02
2022-09-09,237.68,90.5
2022-09-13,240.28,92.2
2022-09-14,227.72,90.04
2022-09-15,216.64,87.1
2022-09-16,214.22,85.92
2022-09-19,216.26,87.38
2022-09-20,220.34,88.67
2022-09-21,219.95,87.26
