Date,Close_1,Vol_1,Close_2,Vol_2,price_spread,price_ratio,volume_ratio
2021-12-29,1846.08,54049,205.9,349759,1640.1799999999998,8.965905779504613,0.15453212068881717
2021-12-30,1880.08,35261,205.7,264769,1674.3799999999999,9.13991249392319,0.13317646703352734
2021-12-31,1855.08,29665,202.86,240437,1652.2199999999998,9.144631765749777,0.1233795131364973
2022-01-04,1856.31,33843,203.76,201787,1652.55,9.11027679623086,0.16771645348808398
2022-01-05,1829.08,28396,203.95,205622,1625.1299999999999,8.968276538367247,0.1380980634367918
2022-01-06,1787.3,51795,199.68,197643,1587.62,8.950821314102564,0.26206341737374966
2022-01-07,1747.08,29817,197.86,168682,1549.2199999999998,8.829879712928332,0.17676456290534853
2022-01-10,1771.08,29627,195.16,208423,1575.9199999999998,9.07501537200246,0.14214841932032454
2022-01-11,1745.63,22277,193.56,131623,1552.0700000000002,9.018547220500103,0.16924853559028438
2022-01-12,1772.08,27474,198.12,178943,1573.96,8.944478094084392,0.15353492452903997
2022-01-13,1682.47,56747,189.1,267623,1493.3700000000001,8.897250132205183,0.21204081861424467
2022-01-14,1672.08,29322,187.4,136468,1484.6799999999998,8.922518676627535,0.21486355775712987
2022-01-17,1666.69,27354,189.04,169362,1477.65,8.816599661447313,0.16151202749140894
2022-01-18,1697.35,31216,191.69,184749,1505.6599999999999,8.854661171683446,0.1689643786975843
2022-01-19,1717.08,26371,191.0,144019,1526.08,8.989947643979058,0.1831077843895597
2022-01-20,1774.6,34014,193.42,194686,1581.1799999999998,9.174852652259332,0.17471210051056574
2022-01-21,1790.07,30813,197.46,239747,1592.61,9.06548161652993,0.12852298464631465
2022-01-24,1755.28,23986,195.27,138009,1560.01,8.98898960413786,0.17380025940337224
2022-01-25,1748.08,25510,188.56,155582,1559.52,9.270683071701315,0.16396498309573088
2022-01-26,1760.08,23905,186.25,215095,1573.83,9.450093959731543,0.11113693949185244
2022-01-27,1770.08,42665,183.6,209923,1586.48,9.640958605664489,0.20324118843575978
2022-01-28,1692.08,41020,178.58,257815,1513.5,9.475193190726843,0.1591063359385606
2022-02-07,1673.04,35150,175.82,248080,1497.22,9.515640996473666,0.14168816510802967
2022-02-08,1644.08,41713,170.2,304517,1473.8799999999999,9.659694477085782,0.13698085821152842
2022-02-09,1701.06,33885,176.18,237421,1524.8799999999999,9.655238960154387,0.14272115777458608
2022-02-10,1678.08,23032,173.24,168743,1504.84,9.686446548141307,0.1364915877991976
2022-02-11,1655.05,33746,174.47,273749,1480.58,9.486158078752794,0.12327350967492119
2022-02-14,1673.75,20196,178.21,190316,1495.54,9.39200942708041,0.10611824544441875
2022-02-15,1695.7,27106,180.0,177390,1515.7,9.420555555555556,0.15280455493545295
2022-02-16,1697.63,14587,179.61,119085,1518.02,9.451756583709148,0.1224923374060545
2022-02-17,1692.07,18214,177.64,130546,1514.4299999999998,9.525275838775052,0.13952170116280851
2022-02-18,1712.08,19385,179.2,116144,1532.8799999999999,9.554017857142858,0.16690487670478027
2022-02-21,1682.07,20816,179.4,151926,1502.6699999999998,9.376086956521739,0.13701407264062768
2022-02-22,1612.95,52299,173.6,193677,1439.3500000000001,9.291186635944701,0.27003206369367555
2022-02-23,1632.09,28112,176.4,147973,1455.6899999999998,9.25221088435374,0.1899806045697526
2022-02-24,1569.19,65359,168.89,259610,1400.3000000000002,9.291195452661496,0.2517584068410308
2022-02-25,1604.14,38979,170.68,136664,1433.46,9.398523552847434,0.28521776034654334
2022-02-28,1595.48,28923,170.2,143093,1425.28,9.374148061104584,0.20212728784776335
2022-03-01,1663.56,47379,173.39,200285,1490.17,9.594324932233693,0.2365579049853958
2022-03-02,1649.96,20074,169.4,150165,1480.56,9.740023612750885,0.1336796190856724
2022-03-03,1605.08,31547,162.27,312889,1442.81,9.891415541997903,0.10082489317297828
2022-03-04,1585.58,31047,156.57,312930,1429.01,10.126971961423006,0.09921388169878248
2022-03-07,1512.08,49156,146.2,477389,1365.8799999999999,10.342544459644323,0.10296843873654399
2022-03-08,1558.28,57215,146.45,333507,1411.83,10.640355069989758,0.17155561952222892
2022-03-09,1584.26,56434,143.08,399219,1441.18,11.072546826949957,0.14136100736688384
2022-03-10,1599.51,36462,152.35,417740,1447.16,10.498916967509025,0.08728395652798392
2022-03-11,1574.09,47727,151.97,257971,1422.12,10.357899585444494,0.18500916769714426
2022-03-14,1505.08,49007,146.47,181403,1358.61,10.275687854168089,0.2701553998555702
2022-03-15,1408.08,89056,137.35,312945,1270.73,10.251765562431743,0.28457396667145984
2022-03-16,1480.03,77593,145.0,349000,1335.03,10.207103448275863,0.2223295128939828
2022-03-17,1525.23,68352,148.44,348292,1376.79,10.275060630557801,0.19624912429800281
2022-03-18,1512.87,38349,148.1,185857,1364.77,10.215192437542202,0.20633605406306998
2022-03-21,1509.38,27877,145.91,171054,1363.47,10.344595983825647,0.16297192699381483
2022-03-22,1500.08,21054,144.5,122905,1355.58,10.381176470588235,0.17130303893250884
2022-03-23,1557.27,58067,146.14,184639,1411.13,10.656014780347613,0.31448935490335195
2022-03-24,1526.01,25815,141.56,198086,1384.45,10.779951963831591,0.13032218329412476
2022-03-25,1495.08,29709,137.39,213641,1357.69,10.882014702671228,0.1390603863490622
2022-03-28,1465.88,57542,131.4,274466,1334.48,11.1558599695586,0.20965073998236575
2022-03-29,1472.08,25935,129.38,235211,1342.6999999999998,11.377956407481836,0.11026270029888058
2022-03-30,1535.18,42433,137.15,323673,1398.03,11.193437841779074,0.1310983616180528
2022-03-31,1524.08,25174,135.26,201366,1388.82,11.267780570752624,0.1250161397654023
2022-04-01,1585.09,44862,140.1,287495,1444.99,11.31399000713776,0.15604445294700778
2022-04-06,1570.08,27820,140.21,179443,1429.87,11.198060052777974,0.15503530368975108
2022-04-07,1570.08,20196,140.65,185572,1429.4299999999998,11.163028794880908,0.10883107365335287
2022-04-08,1589.08,22941,140.79,165446,1448.29,11.286881170537681,0.13866155724526433
2022-04-11,1525.08,43864,133.86,242577,1391.2199999999998,11.393097265800089,0.18082505761057313
2022-04-12,1587.08,41630,144.08,334164,1443.0,11.0152692948362,0.12457954776696473
2022-04-13,1574.08,31148,142.52,238855,1431.56,11.044625315745158,0.13040547612568296
2022-04-14,1614.08,37650,151.77,431191,1462.31,10.635039862950515,0.08731629370742895
2022-04-15,1611.07,21041,150.1,226440,1460.97,10.733311125916057,0.09292086203850909
2022-04-18,1595.9,19793,147.38,184111,1448.52,10.82847062016556,0.10750579813264824
2022-04-19,1595.38,24205,145.2,164993,1450.18,10.987465564738294,0.14670319346881383
2022-04-20,1602.08,24156,146.1,206341,1455.98,10.965639972621492,0.11706834802584072
2022-04-21,1585.06,28953,142.78,171229,1442.28,11.101414763972544,0.16908934818284285
2022-04-22,1578.08,27900,145.63,200144,1432.4499999999998,10.836228799011193,0.13939963226476937
2022-04-25,1513.08,53658,135.2,286351,1377.8799999999999,11.191420118343196,0.18738541161022662
2022-04-26,1537.56,44564,138.7,254539,1398.86,11.085508291276136,0.17507729660287816
2022-04-27,1600.0,57402,141.59,239278,1458.41,11.300233067307014,0.23989668920669682
2022-04-28,1640.08,44010,146.05,257120,1494.03,11.229578911331734,0.17116521468574986
2022-04-29,1633.46,34885,142.33,448743,1491.13,11.476568537904868,0.07773937420750852
2022-05-05,1642.08,33661,141.74,244802,1500.34,11.585155919288837,0.1375029615771113
2022-05-06,1598.08,28596,137.26,190861,1460.82,11.642721841760164,0.1498263133903731
2022-05-09,1557.08,30352,134.98,186236,1422.1,11.53563490887539,0.1629760089348998
2022-05-10,1571.27,40119,135.53,201080,1435.74,11.593521729506381,0.19951760493335985
2022-05-11,1573.08,30313,137.71,243902,1435.37,11.423135574758549,0.12428352371034268
2022-05-12,1567.75,22038,138.28,170686,1429.47,11.337503615851894,0.12911428002296615
2022-05-13,1583.32,20731,137.14,152556,1446.1799999999998,11.545282193379029,0.1358910826188416
2022-05-16,1563.08,27765,135.38,177651,1427.6999999999998,11.545870881961886,0.15628957900602866
2022-05-17,1573.08,20145,136.35,133412,1436.73,11.537073707370737,0.15099841093754685
2022-05-18,1566.08,24850,134.78,165605,1431.3,11.619528119899094,0.15005585580145528
2022-05-19,1561.08,19776,133.72,148783,1427.36,11.674244690397845,0.13291841137764396
2022-05-20,1605.09,41950,142.67,452297,1462.4199999999998,11.250367982056494,0.09274879117040352
